Time;Voltage - Dev9_ai0;Voltage - Dev9_ai1;Voltage - Dev9_ai2;Voltage - Dev9_ai3
3,640861088591401600E+9;4,916270981257861500E+0;2,978725539954212400E-2;5,295978425783960800E+0;-7,306074741711495700E-1
3,640861088591801200E+9;4,914625802619611700E+0;2,880015687932192800E-2;5,052491800018647600E+0;-7,263300489040034300E-1
3,640861088592201200E+9;4,914296766892906700E+0;2,978725539954212400E-2;4,541170451524530800E+0;-7,088913150580750100E-1
3,640861088592601300E+9;4,914296766892906700E+0;2,945822255939479400E-2;4,096972952230087700E+0;-6,894783848036470900E-1
3,640861088593001400E+9;4,914954838346631900E+0;2,978725539954212400E-2;3,737666898563596800E+0;-6,717106180128070700E-1
3,640861088593401400E+9;4,915283874073966600E+0;2,945822255939479400E-2;3,239508641406633900E+0;-6,490073602794137500E-1
3,640861088593801500E+9;4,914296766892906700E+0;3,011628823976340900E-2;2,552814467833903800E+0;-6,111685969596344400E-1
3,640861088594201600E+9;4,914625802619611700E+0;2,978725539954212400E-2;1,833875875713392800E+0;-5,604975565023228000E-1
3,640861088594601200E+9;4,914954838346631900E+0;2,912918971932140100E-2;1,124150990439393600E+0;-4,976523035422548100E-1
3,640861088595001200E+9;4,914954838346631900E+0;2,978725539954212400E-2;3,927105267398367000E-1;-4,134199198487073500E-1
3,640861088595401300E+9;4,914954838346631900E+0;2,978725539954212400E-2;-2,758842233878544500E-1;-2,686455022469079700E-1
3,640861088595801400E+9;4,915612909801616600E+0;2,978725539954212400E-2;-8,191172726000728300E-1;6,400667118169804700E-2
3,640861088596201400E+9;4,915941945529581900E+0;2,978725539954212400E-2;-1,420918050025911100E+0;4,874720149233371900E-1
3,640861088596601500E+9;4,914954838346631900E+0;2,978725539954212400E-2;-2,078983410659483800E+0;7,882081816150886500E-1
3,640861088597001600E+9;4,914296766892906700E+0;3,044532108005866500E-2;-2,724216612741310300E+0;9,510795572025994000E-1
3,640861088597401100E+9;4,914625802619611700E+0;2,945822255939479400E-2;-3,310224124755135800E+0;1,045841098153776700E+0
3,640861088597801200E+9;4,915941945529581900E+0;2,978725539954212400E-2;-3,794889731548143300E+0;1,104079966944739400E+0
3,640861088598201300E+9;4,914296766892906700E+0;3,011628823976340900E-2;-4,182819813645552100E+0;1,142576848492874900E+0
3,640861088598601300E+9;4,915283874073966600E+0;2,978725539954212400E-2;-4,528304775412883600E+0;1,168241437169928600E+0
3,640861088599001400E+9;4,915612909801616600E+0;3,011628823976340900E-2;-4,890241580787782800E+0;1,193576993435247800E+0
3,640861088599401500E+9;4,914625802619611700E+0;2,945822255939479400E-2;-5,111681198289702800E+0;1,210686720184440700E+0
3,640861088599801500E+9;4,914296766892906700E+0;2,978725539954212400E-2;-5,210062272594728800E+0;1,219570616906609600E+0
3,640861088600201100E+9;4,914296766892906700E+0;2,978725539954212400E-2;-5,267643176552818200E+0;1,220557716548369400E+0
3,640861088600601200E+9;4,916929052715366800E+0;2,978725539954212400E-2;-5,302520755449582300E+0;1,225493214775091400E+0
3,640861088601001300E+9;4,914296766892906700E+0;2,978725539954212400E-2;-5,317985342997645600E+0;1,224177081911709700E+0
3,640861088601401300E+9;4,916270981257861500E+0;2,945822255939479400E-2;-5,295282012485603900E+0;1,224835148343134800E+0
3,640861088601801400E+9;4,915283874073966600E+0;2,978725539954212400E-2;-5,034358291653445500E+0;1,220228683334316800E+0
3,640861088602201500E+9;4,915283874073966600E+0;2,945822255939479400E-2;-4,515801507341520500E+0;1,203447989593208200E+0
3,640861088602601500E+9;4,914625802619611700E+0;2,978725539954212400E-2;-4,077200155656775800E+0;1,182389864599128000E+0
3,640861088603001100E+9;4,913967731166516200E+0;2,978725539954212400E-2;-3,723818589538199200E+0;1,165280138436167500E+0
3,640861088603401200E+9;4,914625802619611700E+0;2,912918971932140100E-2;-3,217107810343536200E+0;1,142905881676065100E+0
3,640861088603801200E+9;4,914625802619611700E+0;2,978725539954212400E-2;-2,519887261592447500E+0;1,104079966944739400E+0
3,640861088604201300E+9;4,914625802619611700E+0;3,011628823976340900E-2;-1,804570148108115300E+0;1,053079827394632900E+0
3,640861088604601400E+9;4,914625802619611700E+0;2,912918971932140100E-2;-1,096491831792736800E+0;9,908925644984816200E-1
3,640861088605001400E+9;4,914625802619611700E+0;3,011628823976340900E-2;-3,581424162115238200E-1;9,046858897472520600E-1
3,640861088605401500E+9;4,911664481090600300E+0;2,978725539954212400E-2;3,032135726801240000E-1;7,615565046237463600E-1
3,640861088605801600E+9;4,915283874073966600E+0;2,945822255939479400E-2;8,467760669654317300E-1;4,315364133160991000E-1
3,640861088606201200E+9;4,914296766892906700E+0;2,978725539954212400E-2;1,451539066492450300E+0;7,413022437141123700E-3
3,640861088606601200E+9;4,914625802619611700E+0;3,011628823976340900E-2;2,115199570627641600E+0;-2,956261899915632600E-1
3,640861088607001300E+9;4,913967731166516200E+0;2,978725539954212400E-2;2,758789719047625200E+0;-4,591554723385077300E-1
3,640861088607401400E+9;4,914625802619611700E+0;2,978725539954212400E-2;3,340193158535663900E+0;-5,532588363515750200E-1
3,640861088607801400E+9;4,914296766892906700E+0;2,978725539954212400E-2;3,818609443610362600E+0;-6,105105315057131100E-1
3,640861088608201500E+9;4,913638695440441000E+0;2,912918971932140100E-2;4,200618989168176200E+0;-6,473621966681221100E-1
3,640861088608601600E+9;4,912322552539287700E+0;2,978725539954212400E-2;4,547751159181325800E+0;-6,750009452048765200E-1
3,640861088609001200E+9;4,914296766892906700E+0;3,011628823976340900E-2;4,907387016704817900E+0;-7,006654971697932100E-1
3,640861088609401200E+9;4,913309659714680100E+0;2,978725539954212400E-2;5,118957050373870400E+0;-7,171171329229103500E-1
3,640861088609801300E+9;4,911993516814787200E+0;3,011628823976340900E-2;5,214706518540417300E+0;-7,266590816170803700E-1
3,640861088610201400E+9;4,908045088145322600E+0;2,978725539954212400E-2;5,269326502553256300E+0;-7,299494087458365800E-1
3,640861088610601400E+9;4,915941945529581900E+0;2,978725539954212400E-2;5,303875292346517300E+0;-7,299494087458365800E-1
